Version,Model,Accuracy,Precision,Recall,F1 Test,F1 Train,Train-Test Gap,CV Mean,CV Std,Diagnosis
V1,Decision Tree,0.188,0.1485,0.1441,0.1452,1.0,0.8548,0.1317,0.0119,OVERFIT
V1,Random Forest,0.2932,0.1888,0.1701,0.1568,1.0,0.8432,0.1632,0.0097,OVERFIT
V1,CatBoost,0.3008,0.1924,0.1656,0.1395,0.8952,0.7557,0.1285,0.0201,OVERFIT
V1,KNN,0.1353,0.0837,0.0898,0.0806,0.3533,0.2726,0.1197,0.0198,OVERFIT
V1,Naive Bayes,0.2331,0.2422,0.2765,0.236,0.4392,0.2032,0.16,0.0233,OVERFIT
V2,Decision Tree,0.1863,0.1432,0.1435,0.1433,1.0,0.8567,0.1413,0.0028,OVERFIT
V2,Random Forest,0.302,0.2099,0.1967,0.1746,1.0,0.8254,0.1716,0.0078,OVERFIT
V2,CatBoost,0.3161,0.2379,0.2146,0.201,0.3589,0.1579,0.2054,0.0059,OVERFIT
V2,KNN,0.196,0.1464,0.1498,0.1438,0.3904,0.2466,0.1431,0.0097,OVERFIT
V2,Naive Bayes,0.1263,0.1701,0.1701,0.1055,0.1196,0.0141,0.0963,0.0038,UNDERFIT
V3,Decision Tree,0.1785,0.1391,0.1398,0.1389,1.0,0.8611,0.1439,0.0075,OVERFIT
V3,Random Forest,0.3009,0.2119,0.2155,0.2048,1.0,0.7952,0.196,0.0064,OVERFIT
V3,CatBoost,0.3094,0.235,0.2289,0.2242,0.754,0.5297,0.2174,0.0073,OVERFIT
V3,KNN,0.1076,0.1189,0.1464,0.1036,0.4413,0.3378,0.0992,0.0075,OVERFIT
V3,Naive Bayes,0.1578,0.1703,0.1741,0.1333,0.1521,0.0188,0.1237,0.0062,UNDERFIT
