Version,Model,Accuracy,Precision,Recall,F1 Test,F1 Train,Train-Test Gap,CV Mean,CV Std,Diagnosis
V1,Decision Tree,0.1278,0.078,0.0814,0.0786,1.0,0.9214,0.135,0.016,OVERFIT
V1,Random Forest,0.2632,0.1096,0.1467,0.1187,1.0,0.8813,0.1372,0.0196,OVERFIT
V1,CatBoost,0.3008,0.1668,0.1676,0.1453,0.8297,0.6844,0.1311,0.012,OVERFIT
V1,KNN,0.1429,0.1082,0.0971,0.0925,0.3599,0.2674,0.1171,0.0285,OVERFIT
V1,Naive Bayes,0.2406,0.3243,0.2521,0.2455,0.4512,0.2057,0.1506,0.0248,OVERFIT
V2,Decision Tree,0.1859,0.1518,0.1479,0.1495,1.0,0.8505,0.1464,0.0035,OVERFIT
V2,Random Forest,0.2942,0.181,0.1888,0.1624,1.0,0.8376,0.1709,0.0045,OVERFIT
V2,CatBoost,0.318,0.2488,0.2198,0.2088,0.4203,0.2114,0.2079,0.0079,OVERFIT
V2,KNN,0.205,0.1569,0.1587,0.1528,0.3838,0.231,0.1428,0.0088,OVERFIT
V2,Naive Bayes,0.1317,0.2077,0.1766,0.1118,0.1245,0.0127,0.1013,0.0045,UNDERFIT
V3,Decision Tree,0.1746,0.1365,0.1351,0.1356,1.0,0.8644,0.1495,0.0092,OVERFIT
V3,Random Forest,0.2911,0.2016,0.2113,0.1993,1.0,0.8007,0.2041,0.0063,OVERFIT
V3,CatBoost,0.3137,0.2457,0.2338,0.2287,0.7602,0.5314,0.2244,0.0145,OVERFIT
V3,KNN,0.1002,0.1316,0.1425,0.096,0.4383,0.3423,0.1,0.0054,OVERFIT
V3,Naive Bayes,0.1637,0.1893,0.1774,0.1381,0.1588,0.0207,0.1288,0.007,UNDERFIT
