,precision,recall,f1-score,support
0,0.10344827586206896,0.04316546762589928,0.06091370558375635,139.0
1,0.13580246913580246,0.1111111111111111,0.12222222222222222,99.0
2,0.3382352941176471,0.3948497854077253,0.36435643564356435,233.0
3,0.3660477453580902,0.4194528875379939,0.3909348441926346,329.0
4,0.0,0.0,0.0,54.0
5,0.1619718309859155,0.11917098445595854,0.1373134328358209,193.0
6,0.2463768115942029,0.22666666666666666,0.2361111111111111,150.0
7,0.38461538461538464,0.5187637969094923,0.4417293233082707,453.0
8,0.2953846153846154,0.2774566473988439,0.28614008941877794,346.0
9,0.18461538461538463,0.15789473684210525,0.1702127659574468,152.0
10,0.2898550724637681,0.28708133971291866,0.28846153846153844,418.0
accuracy,0.30358534684333593,0.30358534684333593,0.30358534684333593,0.30358534684333593
macro avg,0.22785026219389817,0.23232849306079226,0.2271268607941039,2566.0
weighted avg,0.2809564211091767,0.30358534684333593,0.28899255472503826,2566.0
