Version,Model,Accuracy,Precision,Recall,F1 Test,F1 Train,Train-Test Gap,CV Mean,CV Std,Diagnosis
V1,Decision Tree,0.1278,0.078,0.0814,0.0786,1.0,0.9214,0.1353,0.0155,OVERFIT
V1,Random Forest,0.2632,0.1189,0.1467,0.1209,1.0,0.8791,0.1253,0.017,OVERFIT
V1,SVM,0.1955,0.0182,0.0875,0.0301,0.0367,0.0066,0.0317,0.0021,UNDERFIT
V1,KNN,0.1429,0.1082,0.0971,0.0925,0.3599,0.2674,0.1171,0.0285,OVERFIT
V1,Naive Bayes,0.2406,0.3243,0.2521,0.2455,0.4512,0.2057,0.1506,0.0248,OVERFIT
V2,Decision Tree,0.1863,0.1468,0.1447,0.1454,1.0,0.8546,0.1466,0.0061,OVERFIT
V2,Random Forest,0.2899,0.1666,0.1857,0.1588,1.0,0.8412,0.171,0.0061,OVERFIT
V2,SVM,0.3223,0.3193,0.2148,0.1966,0.3433,0.1467,0.1889,0.0048,UNDERFIT
V2,KNN,0.205,0.1569,0.1587,0.1528,0.3838,0.231,0.1428,0.0088,OVERFIT
V2,Naive Bayes,0.1317,0.2077,0.1766,0.1118,0.1245,0.0127,0.1013,0.0045,UNDERFIT
V3,Decision Tree,0.1882,0.1466,0.1466,0.1463,1.0,0.8537,0.1446,0.0092,OVERFIT
V3,Random Forest,0.2981,0.2292,0.217,0.2089,1.0,0.7911,0.1984,0.0046,OVERFIT
V3,SVM,0.3036,0.2279,0.2323,0.2271,0.6669,0.4398,0.226,0.0075,OVERFIT
V3,KNN,0.1002,0.1316,0.1425,0.096,0.4383,0.3423,0.1,0.0054,OVERFIT
V3,Naive Bayes,0.1637,0.1893,0.1774,0.1381,0.1588,0.0207,0.1288,0.007,UNDERFIT
