Model,Accuracy,Precision,Recall,F1 Test,F1 Train,Train-Test Gap,CV Mean,CV Std,Diagnosis,Feature Config,N Features
Decision Tree,0.1882,0.1466,0.1466,0.1463,1.0,0.8537,0.1446,0.0092,OVERFIT,All features (V3 baseline),377
Random Forest,0.2981,0.2292,0.217,0.2089,1.0,0.7911,0.1984,0.0046,OVERFIT,All features (V3 baseline),377
SVM,0.3036,0.2279,0.2323,0.2271,0.6669,0.4398,0.226,0.0075,OVERFIT,All features (V3 baseline),377
KNN,0.1002,0.1316,0.1425,0.096,0.4383,0.3423,0.1,0.0054,OVERFIT,All features (V3 baseline),377
Naive Bayes,0.1637,0.1893,0.1774,0.1381,0.1588,0.0207,0.1288,0.007,UNDERFIT,All features (V3 baseline),377
Decision Tree,0.1645,0.1439,0.1452,0.1402,0.9109,0.7707,0.1381,0.0043,OVERFIT,Chi-Square Top 15,15
Random Forest,0.1695,0.1443,0.1461,0.1423,0.9111,0.7688,0.1459,0.0045,OVERFIT,Chi-Square Top 15,15
SVM,0.196,0.1938,0.19,0.1662,0.2116,0.0454,0.1622,0.0036,UNDERFIT,Chi-Square Top 15,15
KNN,0.161,0.1502,0.1466,0.1414,0.4112,0.2699,0.1516,0.0075,OVERFIT,Chi-Square Top 15,15
Naive Bayes,0.1282,0.1763,0.1678,0.1111,0.1188,0.0077,0.1135,0.0178,UNDERFIT,Chi-Square Top 15,15
Decision Tree,0.159,0.1343,0.1327,0.1315,0.9397,0.8083,0.1427,0.0056,OVERFIT,Chi-Square Top 20,20
Random Forest,0.1929,0.153,0.1549,0.1528,0.9398,0.787,0.1531,0.0049,OVERFIT,Chi-Square Top 20,20
SVM,0.1956,0.1835,0.1887,0.1688,0.2788,0.11,0.1704,0.0089,UNDERFIT,Chi-Square Top 20,20
KNN,0.1485,0.1413,0.1405,0.1328,0.4584,0.3256,0.1382,0.0038,OVERFIT,Chi-Square Top 20,20
Naive Bayes,0.1364,0.1768,0.1729,0.1199,0.1271,0.0072,0.1251,0.0127,UNDERFIT,Chi-Square Top 20,20
Decision Tree,0.1407,0.1247,0.1255,0.1221,0.9984,0.8763,0.109,0.0052,OVERFIT,RFE Top 15,15
Random Forest,0.1726,0.1432,0.1442,0.1419,0.9984,0.8565,0.1227,0.0035,OVERFIT,RFE Top 15,15
SVM,0.1368,0.1394,0.1337,0.1181,0.1827,0.0646,0.1267,0.0059,UNDERFIT,RFE Top 15,15
KNN,0.1099,0.116,0.1186,0.1029,0.4896,0.3867,0.0933,0.0068,OVERFIT,RFE Top 15,15
Naive Bayes,0.1259,0.1381,0.1412,0.1021,0.1071,0.005,0.0997,0.0053,UNDERFIT,RFE Top 15,15
Decision Tree,0.1337,0.114,0.1119,0.1111,0.9993,0.8882,0.1055,0.0057,OVERFIT,RFE Top 20,20
Random Forest,0.166,0.1323,0.1321,0.1308,0.9993,0.8685,0.1234,0.0034,OVERFIT,RFE Top 20,20
SVM,0.1469,0.1514,0.1539,0.1342,0.2004,0.0662,0.1305,0.0053,UNDERFIT,RFE Top 20,20
KNN,0.1068,0.114,0.1107,0.099,0.4947,0.3958,0.0949,0.0053,OVERFIT,RFE Top 20,20
Naive Bayes,0.1282,0.1482,0.1415,0.1031,0.1087,0.0056,0.1026,0.008,UNDERFIT,RFE Top 20,20
Decision Tree,0.1321,0.115,0.1145,0.1114,0.9344,0.823,0.115,0.0031,OVERFIT,RF Importance Top 15,15
Random Forest,0.1496,0.1254,0.1241,0.1217,0.9344,0.8127,0.1326,0.0052,OVERFIT,RF Importance Top 15,15
SVM,0.1485,0.1456,0.1425,0.1246,0.1794,0.0548,0.1319,0.0063,UNDERFIT,RF Importance Top 15,15
KNN,0.1103,0.1143,0.1148,0.1021,0.4774,0.3753,0.1067,0.0058,OVERFIT,RF Importance Top 15,15
Naive Bayes,0.1243,0.2006,0.1387,0.0982,0.1085,0.0102,0.1058,0.0042,UNDERFIT,RF Importance Top 15,15
Decision Tree,0.1294,0.1082,0.1058,0.1054,0.9983,0.8929,0.1081,0.0034,OVERFIT,RF Importance Top 20,20
Random Forest,0.168,0.1334,0.1336,0.1322,0.9983,0.8661,0.1382,0.009,OVERFIT,RF Importance Top 20,20
SVM,0.1504,0.1475,0.1432,0.1264,0.2028,0.0764,0.1396,0.0062,UNDERFIT,RF Importance Top 20,20
KNN,0.1154,0.1234,0.124,0.1085,0.488,0.3796,0.0972,0.0044,OVERFIT,RF Importance Top 20,20
Naive Bayes,0.1243,0.1124,0.1369,0.0962,0.1126,0.0164,0.104,0.0052,UNDERFIT,RF Importance Top 20,20
