Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
X1SEX,"Sex of the sample member, taken from the base year student questionnaire, parent questionnaire, and/or school-provided sampling roster. If the sex indicated by any of these three sources was inconsistent, X1SEX was coded based on manual review of the sample member's first name.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,0.03,Low,Strong (Cramer's V=0.293),Include,"Statistical association with target: Strong (Cramer's V=0.293) (supporting evidence only, not decisive)"
X2SEX,"X2SEX is the sample member's sex. The composite is based on data from the BY student questionnaire, parent questionnaire, and/or school-provided sampling roster, and then updated when missing with data from the F1 student questionnaire.","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,0.0,Low,Strong (Cramer's V=0.417),Include,"Statistical association with target: Strong (Cramer's V=0.417) (supporting evidence only, not decisive)"
X3T1CREDPHYS,"Indicates at least one Carnegie unit in Physics, which is the course SCED code(s): 03151, 03161, 03153, 03162, 03197, 03198, 03199, 03152, 03155, 03156, 03157, 03160, 03163, 03164, 03165, 03166. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",X3 - 2013 Update / HS transcript (2013),Academic performance,6.7,Low,Moderate (Cramer's V=0.194),Include,"Statistical association with target: Moderate (Cramer's V=0.194) (supporting evidence only, not decisive)"
X2TXMQUINT,"The math quintile score is a norm-referenced measure of achievement. The quintile score divides the weighted (population estimate) achievement distributions into five equal groups, based on math score (X2TXMTSCOR). Quintile 1 corresponds to the lowest-achieving one-fifth of the population, quintile 5 the highest. To determine the quintile cut-points, the weighted distribution of the standardized scores was divided at the 20th, 40th, 60th, and 80th percentiles. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math quintile score.","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,12.38,Low,Moderate (Cramer's V=0.161),Include,"Statistical association with target: Moderate (Cramer's V=0.161) (supporting evidence only, not decisive)"
X2TXMTSCOR,"The math standardized T score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated percent-correct score which represents status with respect to achievement on a particular criterion set of test items). The standardized T score is a transformation of the IRT theta (ability) estimate, rescaled to a mean of 50 and standard deviation of 10. An advantage of the standardized score over the raw theta score is that it facilitates comparisons in standard deviation units. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math T score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 84.9051 44.1365 21.7789","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Moderate (Eta-sq=0.060),Include,"Statistical association with target: Moderate (Eta-sq=0.060) (supporting evidence only, not decisive)"
X2TXMSCR,The math IRT-estimated number correct is a criterion-referenced measure at the time of the First Follow-up assessment. The criterion is the set of skills defined by both the HSLS:09 Base Year and First Follow-up framework and represented by the 118 items used to score HSLS:09 First Follow-up math assessment. The estimated number correct for math is an estimate of the number of items students would have answered correctly had they responded to all 118 items in the item pool. The ability estimates (Thetas) from the First Follow-up and item parameters derived from the IRT calibration were used to calculate each student's probability of a correct answer for each of the items in the pool. These probabilities are summed to produce the IRT-estimated number-correct scale score. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math estimate number correct. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 115.1000 57.9116 30.6156,"X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Moderate (Eta-sq=0.083),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Moderate (Eta-sq=0.083) (supporting evidence only, not decisive)"
X3T1CREDCALC,"Indicates at least one Carnegie unit in Calculus, which is the course SCED code(s): 02121, 02122, 02123, 02126. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",X3 - 2013 Update / HS transcript (2013),Academic performance,6.7,Low,Moderate (Cramer's V=0.238),Include,"Statistical association with target: Moderate (Cramer's V=0.238) (supporting evidence only, not decisive)"
X3T1CREDPREC,"Indicates at least one Carnegie unit in Analysis/Pre-Calculus, which is the course SCED code(s): 02110, 02132. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",X3 - 2013 Update / HS transcript (2013),Academic performance,6.7,Low,Moderate (Cramer's V=0.167),Include,"Statistical association with target: Moderate (Cramer's V=0.167) (supporting evidence only, not decisive)"
S2FAVSUBJ,"Not including lunch or study periods, what [is/was] your favorite school subject? 1=English 2=Foreign language 3=Science 4=Art 5=Music 6=Mathematics 7=Physical education or gym 8=Religion 9=Health education 10=Computer science 11=Social studies, history, government, or civics 12=Career preparation class such as health professions, business, or culinary arts 13=Other subject",S2 - First follow-up student survey item (2012),Career interests and aspirations,13.6,Low,Moderate (Cramer's V=0.169),Include,"Statistical association with target: Moderate (Cramer's V=0.169) (supporting evidence only, not decisive)"
S2SEX,Are you... 1=Male or 2=Female? Programming note: Values have been filled with the response from the base year student interview. Administered To: Respondents who did not participate in base year. Crossround Note: This variable is a repeat of the BY variable S1SEX.,S2 - First follow-up student survey item (2012),Demographic or socioeconomic controls,12.48,Low,Moderate (Cramer's V=0.235),Include,"Statistical association with target: Moderate (Cramer's V=0.235) (supporting evidence only, not decisive)"
S1SEX,What is your sex? Male Female,S1 - Base year student survey item (2009),Academic performance,8.87,Low,Moderate (Cramer's V=0.233),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Moderate (Cramer's V=0.233) (supporting evidence only, not decisive)"
S2SCAREER,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you will need it for your career? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.69,Low,Moderate (Cramer's V=0.182),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Moderate (Cramer's V=0.182) (supporting evidence only, not decisive)"
S2CHEM1S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Chemistry I 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.082),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
S2OTHBIOS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other biological sciences such as botany, marine biology, or zoology 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.071),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.071) (supporting evidence only, not decisive)"
S2CHEM2S12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Chemistry II 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.068),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.068) (supporting evidence only, not decisive)"
S2IBCHEM12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Chemistry 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.068),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.068) (supporting evidence only, not decisive)"
S2IBIOS12,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Biology 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,31.72,Low,Weak (Cramer's V=0.073),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.073) (supporting evidence only, not decisive)"
