,precision,recall,f1-score,support
Undeclared/undecided,0.08333333333333333,0.007194244604316547,0.013245033112582781,139.0
Computer and information sciences,0.23809523809523808,0.10101010101010101,0.14184397163120568,99.0
Engineering and engineering technology,0.35661764705882354,0.41630901287553645,0.38415841584158417,233.0
"Biological & physical sciences, science technologies, mathematics, agriculture",0.33866666666666667,0.3860182370820669,0.36079545454545453,329.0
General studies and other,0.09090909090909091,0.018518518518518517,0.03076923076923077,54.0
Social sciences,0.1557377049180328,0.09844559585492228,0.12063492063492064,193.0
Humanities,0.23728813559322035,0.18666666666666668,0.208955223880597,150.0
Health care fields,0.38782051282051283,0.5342163355408388,0.44939647168059427,453.0
Business,0.3020833333333333,0.3352601156069364,0.3178082191780822,346.0
Education,0.23469387755102042,0.1513157894736842,0.184,152.0
Other applied,0.27755905511811024,0.3373205741626794,0.3045356371490281,418.0
accuracy,0.313717848791894,0.313717848791894,0.313717848791894,0.313717848791894
macro avg,0.2457095086724893,0.23384319921784244,0.22874023440211638,2566.0
weighted avg,0.2853173715386618,0.313717848791894,0.29196560085427475,2566.0
